file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,売掛金(運輸),売掛金(運輸),高安,北海道札幌市東区中沼町50番9号,3800390,,,,,,,,,,,,,,,,
,,,2,売掛金(運輸),売掛金(運輸),只石組,旭川市東旭川町旭正362番地,3513785,,,,,,,,,,,,,,,,
,,,3,売掛金(運輸),売掛金(運輸),(株)鉉石運輸,士別市上士別町16線南,200255,,,,,,,,,,,,,,,,
,,,4,売掛金(運輸),売掛金(運輸),日本甜菜製糖(株),士別市西3条北4丁目382番地,159500,,,,,,,,,,,,,,,,
,,,5,売掛金(運輸),売掛金(運輸),下川建設工業(株),上川郡下川町西町224,109120,,,,,,,,,,,,,,,,
,,,6,売掛金(運輸),売掛金(運輸),協友建設(株),士別市東3条北6丁目5,62370,,,,,,,,,,,,,,,,
,,,7,小計,小計,,,7845420,,,,,,,,,,,,,,,,
,,,8,完成工事未収入金,完成工事未収入金,近藤・しずお経営建設,上川郡和寒町字三笠99番地,19694907,,,,,,,,,,,,,,,,
,,,9,完成工事未収入金,完成工事未収入金,(株)近藤組,上川郡和寒町字三笠99番地,11888764,,,,,,,,,,,,,,,,
,,,10,完成工事未収入金,完成工事未収入金,大北土建工業(株),富良野市本町8-1,6721000,,,,,,,,,,,,,,,,
,,,11,完成工事未収入金,完成工事未収入金,卯城建設,上川郡剣淵町元町15番3号,4445278,,,,,,,,,,,,,,,,
,,,12,完成工事未収入金,完成工事未収入金,日本甜菜製糖(株),士別市西3条北4丁目382番地,3709556,,,,,,,,,,,,,,,,
,,,13,完成工事未収入金,完成工事未収入金,三津橋建設(株),士別市西1条21丁目471番地,1864500,,,,,,,,,,,,,,,,
,,,14,完成工事未収入金,完成工事未収入金,十勝鉄道,帯広市稲田町南9線西13番地1,1623600,,,,,,,,,,,,,,,,
,,,15,完成工事未収入金,完成工事未収入金,五十嵐組,名寄市徳田240番地4,1108869,,,,,,,,,,,,,,,,
,,,16,完成工事未収入金,完成工事未収入金,,,1105500,,,,,,,,,,,,,,,,
,,,17,完成工事未収入金,完成工事未収入金,(株)道北補道,士別市東山町3440番地23,1029600,,,,,,,,,,,,,,,,
,,,18,完成工事未収入金,完成工事未収入金,士別市中山間農業,士別市東6条4丁目1番地,558203,,,,,,,,,,,,,,,,
,,,19,完成工事未収入金,完成工事未収入金,その他,,1328991,,,,,,,,,,,,,,,,
,,,20,小計,小計,,,55078768,,,,,,,,,,,,,,,,
,,,21,未収入金,未収入金,社会保険、家賃他,従業員立替分,83790,,,,,,,,,,,,,,,,
,,,22,長期未収入金,長期未収入金,かわにしの丘しずお農場(株),士別市武徳町四十六線東三号,1123976555,,,,,,,,,,,,,,,,
,,,23,計,計,,,1186984533,,,,,,,,,,,,,,,,
