file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,金融機関名,金融機関名,支店名,種類,口座番号,期末現在高,摘要,,,,,,,,,,,,,,
,,,1,愛知銀行,愛知銀行,道徳支店,当座預金,104402,16662710,"未達6件2,138,473円",,,,,,,,,,,,,,
,,,2,大垣共立銀行,大垣共立銀行,内田橋支店,当座預金,17350,300388,,,,,,,,,,,,,,,
,,,3,十六銀行,十六銀行,内田橋支店,当座預金,,20872,,,,,,,,,,,,,,,
,,,4,第四銀行,第四銀行,内田橋支店,当座預金,302725,11699,,,,,,,,,,,,,,,
,,,5,名古屋銀行,名古屋銀行,内田橋支店,当座預金,,34110,,,,,,,,,,,,,,,
,,,6,百五銀行,百五銀行,港支店,当座預金,,13422,,,,,,,,,,,,,,,
,,,7,三菱UFJ銀行,三菱UFJ銀行,名古屋港支店,当座預金,,3072584,,,,,,,,,,,,,,,
,,,8,りそな銀行,りそな銀行,名古屋支店,当座預金,0611682,20445,,,,,,,,,,,,,,,
,,,9,愛知信用金庫,愛知信用金庫,堀田支店,当座預金,,9186,,,,,,,,,,,,,,,
,,,10,岡崎信用金庫,岡崎信用金庫,港支店,当座預金,,35733,,,,,,,,,,,,,,,
,,,11,蒲郡信用金庫,蒲郡信用金庫,道徳支店,当座預金,,11880,,,,,,,,,,,,,,,
,,,12,知多信用金庫,知多信用金庫,名古屋南支店,当座預金,,17113,,,,,,,,,,,,,,,
,,,13,商工組合中央金庫,商工組合中央金庫,熱田支店,当座預金,,160560,,,,,,,,,,,,,,,
,,,14,(小計),(小計),,,,20370702,,,,,,,,,,,,,,,
,,,15,愛知銀行,愛知銀行,,普通預金,,334,,,,,,,,,,,,,,,
,,,16,第四銀行,第四銀行,名古屋支店,普通預金,1052136,9034,,,,,,,,,,,,,,,
,,,17,三菱UFJ銀行,三菱UFJ銀行,名古屋港支店,普通預金,,7648,,,,,,,,,,,,,,,
,,,18,愛知信用金庫,愛知信用金庫,堀田支店,普通預金,,1002,,,,,,,,,,,,,,,
,,,19,中京銀行,中京銀行,熱田支店,普通預金,,79022,,,,,,,,,,,,,,,
,,,20,(小計),(小計),,,,97040,,,,,,,,,,,,,,,
,,,21,愛知銀行,愛知銀行,道徳支店,定期預金,,20156048,,,,,,,,,,,,,,,
,,,22,計,計,,,,,,,,,,,,,,,,,,,
