ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_rightside_date,issue_date,due_date_rightside_date,due_date,balance_rightside,balance,payment_bank_name_rightside,payment_bank_name,payment_bank_branch_name_rightside,payment_bank_branch_name,description_rightside,description
,,1,000,689252,202507,支払先,支払先,,振出年月日,振出年月日,支払期日,支払期日,金額,金額,支払銀行名称,支払銀行名称,支払銀行支店名,支払銀行支店名,摘要,
,,2,000,689252,202507,合同会社久譜久島組,合同会社久譜久島組,,R5.5.25,R5.5.25,R5.9.30,R5.9.30,585000,585000,琉球銀行,琉球銀行,,,,
,,3,000,689252,202507,〃,〃,,R5.5.25,R5.5.25,R5.9.30,R5.9.30,843000,843000,琉球銀行,琉球銀行,,,,
,,4,000,689252,202507,〃,〃,,R5.5.25,R5.5.25,R5.9.30,R5.9.30,72000,72000,琉球銀行,琉球銀行,,,,
,,5,000,689252,202507,リウコン(株),リウコン(株),,R5.5.25,R5.5.25,R5.9.30,R5.9.30,7300000,7300000,琉球銀行,琉球銀行,,,,
,,6,000,689252,202507,(株)神谷興業,(株)神谷興業,,R5.5.25,R5.5.25,R5.9.30,R5.9.30,800000,800000,琉球銀行,琉球銀行,,,,
,,7,000,689252,202507,(株)真力,(株)真力,,R5.5.25,R5.5.25,R5.9.30,R5.9.30,2900000,2900000,琉球銀行,琉球銀行,,,,
,,8,000,689252,202507,(有)一建工業,(有)一建工業,,R5.5.25,R5.5.25,R5.9.30,R5.9.30,6500000,6500000,琉球銀行,琉球銀行,,,,
,,9,000,689252,202507,(有)仲座開発,(有)仲座開発,,R5.5.25,R5.5.25,R5.9.30,R5.9.30,1000000,1000000,琉球銀行,琉球銀行,,,,
,,10,000,689252,202507,〃,〃,,R5.5.25,R5.5.25,R5.9.30,R5.9.30,1000000,1000000,琉球銀行,琉球銀行,,,,
,,11,000,689252,202507,〃,〃,,R5.5.25,R5.5.25,R5.9.30,R5.9.30,2000000,2000000,琉球銀行,琉球銀行,,,,
,,12,000,689252,202507,〃,〃,,R5.5.25,R5.5.25,R5.9.30,R5.9.30,2000000,2000000,琉球銀行,琉球銀行,,,,
,,13,000,689252,202507,〃,〃,,R5.5.25,R5.5.25,R5.9.30,R5.9.30,4300000,4300000,琉球銀行,琉球銀行,,,,
,,14,000,689252,202507,(有)吉永,(有)吉永,,R5.5.25,R5.5.25,R5.9.30,R5.9.30,2400000,2400000,琉球銀行,琉球銀行,,,,
,,15,000,689252,202507,〃,〃,,R5.5.25,R5.5.25,R5.9.30,R5.9.30,2100000,2100000,琉球銀行,琉球銀行,,,,
,,16,000,689252,202507,〃,〃,,R5.5.25,R5.5.25,R5.9.30,R5.9.30,300000,300000,琉球銀行,琉球銀行,,,,
,,17,000,689252,202507,,,,,,,,34100000,34100000,,,,,,
,,18,000,689252,202507,計,計,,,,,,128500000,128500000,,,,,,
