ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_rightside_date,issue_date,due_date_rightside_date,due_date,balance_rightside,balance,payment_bank_name_rightside,payment_bank_name,payment_bank_branch_name_rightside,payment_bank_branch_name,description_rightside,description
,,1,000,486310,202507,支払先,支払先,,振出年月日,振出年月日,支払期日,支払期日,金額,金額,支払銀行名称,支払銀行名称,支払銀行支店名,支払銀行支店名,摘要,
,,2,000,486310,202507,日本資材(株),日本資材(株),,令5.1.16,令5.1.16,令5.4.30,令5.4.30,144292,144292,中国銀行福山支店,中国銀行福山支店,,,,
,,3,000,486310,202507,日本資材(株),日本資材(株),,令5.2.15,令5.2.15,令5.5.31,令5.5.31,333300,333300,中国銀行福山支店,中国銀行福山支店,,,,
,,4,000,486310,202507,日本資材(株),日本資材(株),,令5.3.15,令5.3.15,令5.6.30,令5.6.30,1802988,1802988,中国銀行福山支店,中国銀行福山支店,,,,
,,5,000,486310,202507,西野金陵(株),西野金陵(株),,令5.1.16,令5.1.16,令5.4.30,令5.4.30,5707955,5707955,中国銀行福山支店,中国銀行福山支店,,,,
,,6,000,486310,202507,西野金陵(株),西野金陵(株),,令5.2.15,令5.2.15,令5.5.31,令5.5.31,4352381,4352381,中国銀行福山支店,中国銀行福山支店,,,,
,,7,000,486310,202507,西野金陵(株),西野金陵(株),,令5.3.15,令5.3.15,令5.6.30,令5.6.30,5299327,5299327,中国銀行福山支店,中国銀行福山支店,,,,
,,8,000,486310,202507,マエダ化成(株),マエダ化成(株),,令5.1.16,令5.1.16,令5.4.30,令5.4.30,244860,244860,中国銀行福山支店,中国銀行福山支店,,,,
,,9,000,486310,202507,マエダ化成(株),マエダ化成(株),,令5.2.15,令5.2.15,令5.5.31,令5.5.31,792418,792418,中国銀行福山支店,中国銀行福山支店,,,,
,,10,000,486310,202507,マエダ化成(株),マエダ化成(株),,令5.3.15,令5.3.15,令5.6.30,令5.6.30,398530,398530,中国銀行福山支店,中国銀行福山支店,,,,
,,11,000,486310,202507,(株)明成商会,(株)明成商会,,令5.1.16,令5.1.16,令5.4.30,令5.4.30,991265,991265,中国銀行福山支店,中国銀行福山支店,,,,
,,12,000,486310,202507,(株)明成商会,(株)明成商会,,令5.2.15,令5.2.15,令5.5.31,令5.5.31,1394470,1394470,中国銀行福山支店,中国銀行福山支店,,,,
,,13,000,486310,202507,(株)明成商会,(株)明成商会,,令5.3.15,令5.3.15,令5.6.30,令5.6.30,1241460,1241460,中国銀行福山支店,中国銀行福山支店,,,,
,,14,000,486310,202507,内外物産(株),内外物産(株),,令5.1.16,令5.1.16,令5.4.15,令5.4.15,934594,934594,中国銀行福山支店,中国銀行福山支店,,,,
,,15,000,486310,202507,内外物産(株),内外物産(株),,令5.2.15,令5.2.15,令5.5.15,令5.5.15,1398913,1398913,中国銀行福山支店,中国銀行福山支店,,,,
,,16,000,486310,202507,内外物産(株),内外物産(株),,令5.3.15,令5.3.15,令5.6.15,令5.6.15,176407,176407,中国銀行福山支店,中国銀行福山支店,,,,
,,17,000,486310,202507,新和産業(株),新和産業(株),,令5.1.16,令5.1.16,令5.4.15,令5.4.15,4492855,4492855,中国銀行福山支店,中国銀行福山支店,,,,
,,18,000,486310,202507,新和産業(株),新和産業(株),,令5.2.15,令5.2.15,令5.5.15,令5.5.15,2896388,2896388,中国銀行福山支店,中国銀行福山支店,,,,
,,19,000,486310,202507,新和産業(株),新和産業(株),,令5.3.15,令5.3.15,令5.6.15,令5.6.15,4512812,4512812,中国銀行福山支店,中国銀行福山支店,,,,
,,20,000,486310,202507,丸石化学品(株),丸石化学品(株),,令5.1.16,令5.1.16,令5.4.15,令5.4.15,1622324,1622324,中国銀行福山支店,中国銀行福山支店,,,,
,,21,000,486310,202507,丸石化学品(株),丸石化学品(株),,令5.2.15,令5.2.15,令5.5.15,令5.5.15,157740,157740,中国銀行福山支店,中国銀行福山支店,,,,
,,22,000,486310,202507,松浦(株),松浦(株),,令5.1.16,令5.1.16,令5.4.15,令5.4.15,653400,653400,中国銀行福山支店,中国銀行福山支店,,,,
,,23,000,486310,202507,松浦(株),松浦(株),,令5.2.15,令5.2.15,令5.5.15,令5.5.15,891091,891091,中国銀行福山支店,中国銀行福山支店,,,,
,,24,000,486310,202507,松浦(株),松浦(株),,令5.3.15,令5.3.15,令5.6.15,令5.6.15,1796804,1796804,中国銀行福山支店,中国銀行福山支店,,,,
,,25,000,486310,202507,計,計,,,,,,,,,,,,,
