file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,借入先名称(氏名),借入先名称(氏名),借入先所在地(住所),法人・代表者との関係,期末現在高,期中の支払利子額,利率,担保の内容,,,,,,,,,,,,,
,,,1,,,,,,177731,,,,,,,,,,,,,,,
,,,2,,,,,,163993,,,,,,,,,,,,,,,
,,,3,,,,,,1684,,,,,,,,,,,,,,,
,,,4,,,,,,14921,,,,,,,,,,,,,,,
,,,5,,,,,,949257,,,,,,,,,,,,,,,
,,,6,三井住友ファイナンス&リース(株),三井住友ファイナンス&リース(株),東京都千代田区丸の内1-3-2,,,2130911,,,,,,,,,,,,,,,
,,,7,,,,,,166481,,,,,,,,,,,,,,,
,,,8,,,その他計,,,2297392,,,,,,,,,,,,,,,
,,,9,,,合計,,757601098,7408734,,,,,,,,,,,,,,,
