ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_rightside_date,issue_date,due_date_rightside_date,due_date,balance_rightside,balance,payment_bank_name_rightside,payment_bank_name,payment_bank_branch_name_rightside,payment_bank_branch_name,description_rightside,description
,,1,000,810296,202507,支払先,支払先,,振出年月日,振出年月日,支払期日,支払期日,金額,金額,支払銀行名称,支払銀行名称,支払銀行支店名,支払銀行支店名,摘要,
,,2,000,810296,202507,(有)村松砲金,(有)村松砲金,,令5.3.27,令5.3.27,令5.7.21,令5.7.21,7938766,7938766,スルガ銀行,スルガ銀行,本店営業部,本店営業部,AC10531,
,,3,000,810296,202507,(有)村松砲金,(有)村松砲金,,令5.4.25,令5.4.25,令5.8.21,令5.8.21,7771253,7771253,スルガ銀行,スルガ銀行,本店営業部,本店営業部,BA00788,
,,4,000,810296,202507,(有)村松砲金,(有)村松砲金,,令5.5.25,令5.5.25,令5.9.21,令5.9.21,5964932,5964932,スルガ銀行,スルガ銀行,本店営業部,本店営業部,AC10812,
,,5,000,810296,202507,,,,,,小計,小計,27993491,27993491,,,,,,
,,6,000,810296,202507,(有)土屋商会,(有)土屋商会,,令5.2.27,令5.2.27,令5.6.21,令5.6.21,2962086,2962086,スルガ銀行,スルガ銀行,本店営業部,本店営業部,AC10498,
,,7,000,810296,202507,(有)土屋商会,(有)土屋商会,,令5.3.27,令5.3.27,令5.7.21,令5.7.21,3280309,3280309,スルガ銀行,スルガ銀行,本店営業部,本店営業部,AC10522,
,,8,000,810296,202507,(有)土屋商会,(有)土屋商会,,令5.4.25,令5.4.25,令5.8.21,令5.8.21,1762343,1762343,スルが銀行,スルが銀行,本店営業部,本店営業部,BA00779,
,,9,000,810296,202507,(有)土屋商会,(有)土屋商会,,令5.5.25,令5.5.25,令5.9.21,令5.9.21,2539931,2539931,スルガ銀行,スルガ銀行,本店営業部,本店営業部,AC10803,
,,10,000,810296,202507,,,,,,小計,小計,10544669,10544669,,,,,,
,,11,000,810296,202507,(有)東静部品,(有)東静部品,,令5.2.27,令5.2.27,令5.6.21,令5.6.21,878350,878350,スルガ銀行,スルガ銀行,本店営業部,本店営業部,AC10500,
,,12,000,810296,202507,(有)東静部品,(有)東静部品,,令5.3.27,令5.3.27,令5.7.21,令5.7.21,912780,912780,スルガ銀行,スルガ銀行,本店営業部,本店営業部,AC10526,
,,13,000,810296,202507,(有)東静部品,(有)東静部品,,令5.4.25,令5.4.25,令5.8.21,令5.8.21,787820,787820,スルガ銀行,スルガ銀行,本店営業部,本店営業部,BA00783,
,,14,000,810296,202507,(有)東静部品,(有)東静部品,,令5.5.25,令5.5.25,令5.9.21,令5.9.21,666600,666600,スルガ銀行,スルガ銀行,本店営業部,本店営業部,AC10807,
,,15,000,810296,202507,,,,,,小計,小計,3245550,3245550,,,,,,
,,16,000,810296,202507,アオイ工販(株),アオイ工販(株),,令5.2.27,令5.2.27,令5.6.21,令5.6.21,250635,250635,スルガ銀行,スルガ銀行,本店営業部,本店営業部,AC10510,
,,17,000,810296,202507,,,,,,小計,小計,250635,250635,,,,,,
,,18,000,810296,202507,サーラエナジー(株),サーラエナジー(株),,令5.2.27,令5.2.27,令5.6.21,令5.6.21,288970,288970,スルガ銀行,スルガ銀行,本店営業部,本店営業部,AC10491,
,,19,000,810296,202507,,,,,,小計,小計,288970,288970,,,,,,
,,20,000,810296,202507,ジェイテクトセールス(株),ジェイテクトセールス(株),,令5.2.27,令5.2.27,令5.6.21,令5.6.21,302115,302115,スルガ銀行,スルガ銀行,本店営業部,本店営業部,AC10494,
,,21,000,810296,202507,ジェイテクトセールス(株),ジェイテクトセールス(株),,令5.4.25,令5.4.25,令5.8.21,令5.8.21,319209,319209,スルガ銀行,スルガ銀行,本店営業部,本店営業部,AC10550,
,,22,000,810296,202507,,,,,,小計,小計,621324,621324,,,,,,
,,23,000,810296,202507,トーアメック(株),トーアメック(株),,令5.2.27,令5.2.27,令5.6.21,令5.6.21,379775,379775,スルガ銀行,スルガ銀行,本店営業部,本店営業部,AC10499,
,,24,000,810296,202507,トーアメック(株),トーアメック(株),,令5.3.27,令5.3.27,令5.7.21,令5.7.21,233750,233750,スルガ銀行,スルガ銀行,本店営業部,本店営業部,AC10524,
,,25,000,810296,202507,計,計,,,,,,,,,,,,,
