ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_rightside_date,issue_date,due_date_rightside_date,due_date,balance_rightside,balance,payment_bank_name_rightside,payment_bank_name,payment_bank_branch_name_rightside,payment_bank_branch_name,description_rightside,description
,,1,000,505291,202507,科目,科目,,名称(氏名),名称(氏名),所在地(住所),所在地(住所),,,期末現在高,期末現在高,摘要,摘要,,
,,2,000,505291,202507,売掛金,売掛金,,岩井機械工業(株),岩井機械工業(株),,,,,74827247,74827247,厚木工場,厚木工場,,
,,3,000,505291,202507,売掛金,売掛金,,(株)微生物化学研究所,(株)微生物化学研究所,,,,,28820000,28820000,,,,
,,4,000,505291,202507,売掛金,売掛金,,(株)大阪機器製作所,(株)大阪機器製作所,,,,,21505000,21505000,,,,
,,5,000,505291,202507,売掛金,売掛金,,日本グリース(株),日本グリース(株),,,,,19470000,19470000,神戸工場,神戸工場,,
,,6,000,505291,202507,売掛金,売掛金,,日本グリース(株),日本グリース(株),,,,,19470000,19470000,横浜工場,横浜工場,,
,,7,000,505291,202507,売掛金,売掛金,,SPXフローテクノロジージャパン,SPXフローテクノロジージャパン,,,,,14850000,14850000,,,,
,,8,000,505291,202507,売掛金,売掛金,,(株)岩井プラントサービス,(株)岩井プラントサービス,,,,,14650900,14650900,,,,
,,9,000,505291,202507,売掛金,売掛金,,南日本酪農協同(株),南日本酪農協同(株),,,,,13831510,13831510,都城工場,都城工場,,
,,10,000,505291,202507,売掛金,売掛金,,(株)やくらいフーズ,(株)やくらいフーズ,,,,,13750000,13750000,,,,
,,11,000,505291,202507,売掛金,売掛金,,イーエヌ大塚製楽(株),イーエヌ大塚製楽(株),,,,,11970860,11970860,本社・花巻工場,本社・花巻工場,,
,,12,000,505291,202507,売掛金,売掛金,,花太刀食品工業(株),花太刀食品工業(株),,,,,11000000,11000000,,,,
,,13,000,505291,202507,売掛金,売掛金,,アリアケジャパン(株),アリアケジャパン(株),,,,,10285000,10285000,九州第2工場,九州第2工場,,
,,14,000,505291,202507,売掛金,売掛金,,(株)日阪製作所,(株)日阪製作所,,,,,9609435,9609435,鴻池事業所,鴻池事業所,,
,,15,000,505291,202507,売掛金,売掛金,,(株)明治,(株)明治,,,,,9592880,9592880,京都工場,京都工場,,
,,16,000,505291,202507,売掛金,売掛金,,アサヒ飲料(株),アサヒ飲料(株),,,,,9225755,9225755,明石工場,明石工場,,
,,17,000,505291,202507,売掛金,売掛金,,守山乳業(株),守山乳業(株),,,,,7623220,7623220,神奈川工場,神奈川工場,,
,,18,000,505291,202507,売掛金,売掛金,,住友化学(株),住友化学(株),,,,,6303880,6303880,TSP工場,TSP工場,,
,,19,000,505291,202507,売掛金,売掛金,,和歌山ノーキョー食品工業(株),和歌山ノーキョー食品工業(株),,,,,5743650,5743650,千葉工場第2製造,千葉工場第2製造,,
,,20,000,505291,202507,売掛金,売掛金,,コカ・コーラボトラーズジャパン(,コカ・コーラボトラーズジャパン(,,,,,5698000,5698000,鳥栖工場,鳥栖工場,,
,,21,000,505291,202507,売掛金,売掛金,,和歌山ノーキョー食品工業(株),和歌山ノーキョー食品工業(株),,,,,5180120,5180120,海南工場,海南工場,,
,,22,000,505291,202507,売掛金,売掛金,,(株)ふくれん,(株)ふくれん,,,,,5149320,5149320,甘木工場,甘木工場,,
,,23,000,505291,202507,売掛金,売掛金,,野澤組,野澤組,,,,,5112800,5112800,,,,
,,24,000,505291,202507,売掛金,売掛金,,近藤乳御油,近藤乳御油,,,,,4873000,4873000,,,,
,,25,000,505291,202507,売掛金,売掛金,,大塚食品(株),大塚食品(株),,,,,4611750,4611750,群馬工場,群馬工場,,
,,26,000,505291,202507,売掛金,売掛金,,アサヒ飲料(株),アサヒ飲料(株),,,,,4505600,4505600,岡山工場,岡山工場,,
,,27,000,505291,202507,売掛金,売掛金,,不二製油(株),不二製油(株),,,,,4274380,4274380,阪南事業所,阪南事業所,,
,,28,000,505291,202507,計,計,,,,,,,,,,,,,
