file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,支払先,支払先,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,摘要,,,,,,,,,,,,,
,,,1,昭和精工,昭和精工,4-12-5,5-5-5,三菱UFJ銀行,上野支店,"498,747",71639,,,,,,,,,,,,,
,,,2,昭和精工,昭和精工,5-1-20,5-6-5,三菱UFJ銀行,上野支店,"613,257",71649,,,,,,,,,,,,,
,,,3,昭和精工,昭和精工,5-2-20,5-7-5,三装UFJ銀行,上野支店,"788,165",82267,,,,,,,,,,,,,
,,,4,昭和精工,昭和精工,5-3-6,5-8-5,三菱UFJ銀行,上野支店,"621,177",82274,,,,,,,,,,,,,
,,,5,関東ビニール(株),関東ビニール(株),4-12-20,5-5-5,三菱UFJ銀行,上野支店,"656,249",71640,,,,,,,,,,,,,
,,,6,関東ビニール(株),関東ビニール(株),5-1-20,5-6-5,三菱UFJ銀行,上野支店,"827,574",71650,,,,,,,,,,,,,
,,,7,関東ビニール(株),関東ビニール(株),5-2-20,5-7-5,三菱UFJ銀行,上野支店,"405,174",82263,,,,,,,,,,,,,
,,,8,関東ビニール(株),関東ビニール(株),5-3-20,5-8-5,三菱UFJ銀行,上野支店,"417,450",82275,,,,,,,,,,,,,
,,,9,関東ビニール(株),関東ビニール(株),5-4-20,5-9-5,三菱UFJ銀行,上野支店,"957,000",82285,,,,,,,,,,,,,
,,,10,株式会社カナイ,株式会社カナイ,4-12-20,5-5-5,三菱UFJ銀行,上野支店,"524,592",71641,,,,,,,,,,,,,
,,,11,株式会社カナイ,株式会社カナイ,5-1-20,5-6-5,三菱UFJ銀行,上野支店,"696,286",82251,,,,,,,,,,,,,
,,,12,株式会社カナイ,株式会社カナイ,5-2-20,5-7-5,三菱UFJ銀行,上野支店,"780,780",82264,,,,,,,,,,,,,
,,,13,株式会社カナイ,株式会社カナイ,5-3-20,5-8-5,三菱UFJ銀行,上野支店,"357,403",82276,,,,,,,,,,,,,
,,,14,株式会社カナイ,株式会社カナイ,5-4-20,5-9-5,三菱UFJ銀行,上野支店,"668,228",82286,,,,,,,,,,,,,
,,,15,(有)鈴木プラスチック,(有)鈴木プラスチック,4-12-20,5-5-5,三菱UFJ銀行,上野支店,"541,858",71642,,,,,,,,,,,,,
,,,16,(有)鈴木プラスチック,(有)鈴木プラスチック,5-1-20,5-6-5,三菱UFJ銀行,上野支店,"418,323",82252,,,,,,,,,,,,,
,,,17,(有)鈴木プラスチック,(有)鈴木プラスチック,5-2-20,5-7-5,三菱UFJ銀行,上野支店,"305,074",82265,,,,,,,,,,,,,
,,,18,(有)鈴木プラスチック,(有)鈴木プラスチック,5-3-20,5-8-5,三菱UFJ銀行,上野支店,"444,997",82277,,,,,,,,,,,,,
,,,19,(有)鈴木プラスチック,(有)鈴木プラスチック,5-4-20,5-9-5,三菱UFJ銀行,上野支店,"438,640",82287,,,,,,,,,,,,,
,,,20,(有)遠藤工業,(有)遠藤工業,4-12-20,5-5-5,三菱UFJ銀行,上野支店,"502,038",71643,,,,,,,,,,,,,
,,,21,(有)遠藤工業,(有)遠藤工業,5-1-20,5-6-5,三菱UFJ銀行,上野支店,"609,594",82253,,,,,,,,,,,,,
,,,22,(有)遠藤工業,(有)遠藤工業,5-2-20,5-7-5,三菱UFJ銀行,上野支店,"719,171",82266,,,,,,,,,,,,,
,,,23,(有)遠藤工業,(有)遠藤工業,5-3-20,5-8-5,三菱UFJ銀行,上野支店,"692,669",82278,,,,,,,,,,,,,
,,,24,合計,合計,,,,,,,,,,,,,,,,,,,
