ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_original,issue_date,due_date_original,due_date,balance_original,balance,paying_bank_name_original,paying_bank_name,paying_bank_branch_name_original,paying_bank_branch_name,discount_bank_name_original,discount_bank_name,description_original,description
20250718135900150,1,1,001,000016,202507,小笠原電装,小笠原電装,214,3・10・8,3・10・8,4・4・30,4・4・30,1045966,1045966,,,,,杜の都信用金庫,杜の都信用金庫,,
20250718135900150,1,2,001,000016,202507,小笠原電装,小笠原電装,214,3・11・9,3・11・9,4・5・31,4・5・31,573362,573362,,,,,,,,
20250718135900150,1,3,001,000016,202507,仙北電装,仙北電装,215,3・11・22,3・11・22,4・4・30,4・4・30,697686,697686,,,,,七十七銀行,七十七銀行,,
20250718135900150,1,4,001,000016,202507,小笠原電装,小笠原電装,214,3・12・6,3・12・6,4・6・30,4・6・30,771513,771513,,,,,,,,
20250718135900150,1,5,001,000016,202507,弘前バッテリー社,弘前バッテリー社,216,3・12・10,3・12・10,4・4・30,4・4・30,319378,319378,,,,,杜の都信用金庫,杜の都信用金庫,,
20250718135900150,1,6,001,000016,202507,藤建販,藤建販,217,3・12・10,3・12・10,4・4・30,4・4・30,277981,277981,,,,,杜の都信用金庫,杜の都信用金庫,,
20250718135900150,1,7,001,000016,202507,イチネンMTM,イチネンMTM,218,3・12・13,3・12・13,4・4・20,4・4・20,143853,143853,,,,,杜の都信用金庫,杜の都信用金庫,,
20250718135900150,1,8,001,000016,202507,,,,3・12・18,3・12・18,4・4・2,4・4・2,343377,343377,,,,,杜の都信用金庫,杜の都信用金庫,,
20250718135900150,1,9,001,000016,202507,仙北電装,仙北電装,215,3・12・18,3・12・18,4・5・31,4・5・31,466926,466926,,,,,,,,
20250718135900150,1,10,001,000016,202507,青森ユアサ電池販売,青森ユアサ電池販売,219,3・12・23,3・12・23,4・4・10,4・4・10,319549,319549,,,,,杜の都信用金庫,杜の都信用金庫,,
20250718135900150,1,11,001,000016,202507,佐々木建設新英商事,佐々木建設新英商事,220,3・12・28,3・12・28,4・4・30,4・4・30,310112,310112,,,,,杜の都信用金庫,杜の都信用金庫,,
20250718135900150,1,12,001,000016,202507,羽田電機工業所,羽田電機工業所,221,3・12・28,3・12・28,4・4・30,4・4・30,1914344,1914344,,,,,七十七銀行,七十七銀行,,
20250718135900150,1,13,001,000016,202507,小笠原電装,小笠原電装,214,4・1・13,4・1・13,4・7・31,4・7・31,655274,655274,,,,,,,,
20250718135900150,1,14,001,000016,202507,守友電装,守友電装,222,4・1・17,4・1・17,4・4・28,4・4・28,571097,571097,,,,,仙台銀行,仙台銀行,,
20250718135900150,1,15,001,000016,202507,アサノ電装,アサノ電装,223,4・1・17,4・1・17,4・4・30,4・4・30,1097412,1097412,,,,,仙台銀行,仙台銀行,,
20250718135900150,1,16,001,000016,202507,,,,4・1・17,4・1・17,4・5・7,4・5・7,137095,137095,,,,,,,,
20250718135900150,1,17,001,000016,202507,河田電機,河田電機,224,4・1・18,4・1・18,4・5・10,4・5・10,800000,800000,,,,,,,,
20250718135900150,1,18,001,000016,202507,岩手自動車電機,岩手自動車電機,225,4・1・19,4・1・19,4・4・20,4・4・20,228577,228577,,,,,仙台銀行,仙台銀行,,
20250718135900150,1,19,001,000016,202507,佐藤電機工業,佐藤電機工業,226,4・1・19,4・1・19,4・4・30,4・4・30,316397,316397,,,,,仙台銀行,仙台銀行,,
20250718135900150,1,20,001,000016,202507,トヨタエルアンドエフ宮城,トヨタエルアンドエフ宮城,227,4・1・20,4・1・20,4・4・20,4・4・20,168556,168556,,,,,七十七銀行,七十七銀行,,
20250718135900150,1,21,001,000016,202507,平和実業上北電機商会,平和実業上北電機商会,228,4・1・22,4・1・22,4・4・25,4・4・25,364507,364507,,,,,杜の都信用金庫,杜の都信用金庫,,
20250718135900150,1,22,001,000016,202507,カナモト上北電機商会,カナモト上北電機商会,229,4・1・22,4・1・22,4・4・30,4・4・30,309298,309298,,,,,七十七銀行,七十七銀行,,
20250718135900150,1,23,001,000016,202507,上北電機商会,上北電機商会,230,4・1・22,4・1・22,4-4-30,4-4-30,1343947,1343947,,,,,仙台銀行,仙台銀行,,
20250718135900150,1,24,001,000016,202507,弘前バッテリー社,弘前バッテリー社,216,4・1・22,4・1・22,4・5・31,4・5・31,125840,125840,,,,,,,,
20250718135900150,1,25,001,000016,202507,仙北電装,仙北電装,215,4・1・22,4・1・22,4・6・30,4・6・30,507351,507351,,,,,,,,
20250718135900150,1,26,001,000016,202507,大館自動車部品商会,大館自動車部品商会,231,4・1・26,4・1・26,4・4・30,4・4・30,141878,141878,,,,,仙台銀行,仙台銀行,,
20250718135900150,1,27,001,000016,202507,八戸電機商会,八戸電機商会,232,4・1・27,4・1・27,4・4・30,4・4・30,140580,140580,,,,,仙台銀行,仙台銀行,,
20250718135900150,1,28,001,000016,202507,太洋自動車工業MK電装商事,太洋自動車工業MK電装商事,233,4・1・28,4・1・28,4・4・30,4・4・30,780349,780349,,,,,仙台銀行,仙台銀行,,
20250718135900150,1,29,001,000016,202507,三菱ふそらトラック・バス大和田電装,三菱ふそらトラック・バス大和田電装,234,4・1・28,4・1・28,4・5・20,4・5・20,340085,340085,,,,,,,,
20250718135900150,1,30,001,000016,202507,住友建機販売新英商事,住友建機販売新英商事,235,4・1・28,4・1・28,4・5・25,4・5・25,276122,276122,,,,,,,,
20250718135900150,1,31,001,000016,202507,寒河江重車輛新英商事,寒河江重車輛新英商事,236,4・1・28,4・1・28,4・5・31,4・5・31,243700,243700,,,,,,,,
20250718135900150,1,32,001,000016,202507,羽田電工業所,羽田電工業所,237,4・1・31,4・1・31,4・5・31,4・5・31,1110073,1110073,,,,,,,,
20250718135900150,1,33,001,000016,202507,石井電装サービス,石井電装サービス,238,4・2・1,4・2・1,4・5・1,4・5・1,155317,155317,,,,,,,,
20250718135900150,1,34,001,000016,202507,,,,4・2・4,4・2・4,4・6・2,4・6・2,203822,203822,,,,,,,,
20250718135900150,1,35,001,000016,202507,小笠原電装,小笠原電装,214,4・2・9,4・2・9,4・8・31,4・8・31,327284,327284,,,,,,,,
20250718135900150,1,36,001,000016,202507,秋田重車輛,秋田重車輛,239,4・2・10,4・2・10,4・5・31,4・5・31,140051,140051,,,,,,,,
20250718135900150,1,37,001,000016,202507,アサノ電装,アサノ電装,223,4・2・15,4・2・15,4・5・31,4・5・31,667376,667376,,,,,,,,
20250718135900150,1,38,001,000016,202507,岩手自動車電機,岩手自動車電機,225,4・2・17,4・2・17,4・5・20,4・5・20,686838,686838,,,,,,,,
